question,cypher,data_source,instance_id,database_reference_alias
Identify all tweets by 'Neo4j' that mention a user with at least 5000 followers.,MATCH (u:User {name: 'Neo4j'})-[:POSTS]->(t:Tweet)-[:MENTIONS]->(m:User) WHERE m.followers >= 5000 RETURN t,neo4jLabs_synthetic_gpt4turbo,instance_id_24217,neo4jlabs_demo_db_twitter
How many 'Machine' nodes are there in 'Rack' with 'zone' 2?,MATCH (r:Rack {zone: 2})-[:HOLDS]->(m:Machine) RETURN count(m),neo4jLabs_synthetic_gemini,instance_id_31774,neo4jlabs_demo_db_network
List the top 5 movies with the most number of IMDb votes.,"MATCH (m:Movie) RETURN m.title, m.imdbVotes ORDER BY m.imdbVotes DESC LIMIT 5",neo4jLabs_synthetic_claudeopus,instance_id_35462,neo4jlabs_demo_db_recommendations
Provide the names of 3 actors who have also directed movies.,MATCH (a:Actor)-[:ACTED_IN]->(m:Movie)<-[:DIRECTED]-(a) RETURN a.name LIMIT 3,neo4jLabs_synthetic_gpt4o,instance_id_42725,neo4jlabs_demo_db_recommendations
List the first 3 movies with an average vote less than 5.,"MATCH (m:Movie) WHERE m.average_vote < 5 RETURN m.title, m.average_vote ORDER BY m.average_vote LIMIT 3",neo4jLabs_synthetic_claudeopus,instance_id_35147,neo4jlabs_demo_db_eoflix
Find the first 3 users who are moderators of more than one stream.,"MATCH (u:User)-[:MODERATOR]->(s:Stream) WITH u, count(s) AS num_moderated_streams WHERE num_moderated_streams > 1 RETURN u.name, u.id ORDER BY num_moderated_streams DESC LIMIT 3",neo4jLabs_synthetic_claudeopus,instance_id_36690,neo4jlabs_demo_db_twitch
Which 3 streams have the highest follower count but the lowest total view count?,"MATCH (s:Stream) RETURN s.name, s.followers, s.total_view_count ORDER BY s.followers DESC, s.total_view_count ASC LIMIT 3",neo4jLabs_synthetic_gpt4o,instance_id_43666,neo4jlabs_demo_db_twitch
Find the top 5 orders with the most different products included.,"MATCH (o:Order)-[r:ORDERS]->(p:Product) WITH o, count(DISTINCT p) AS numProducts ORDER BY numProducts DESC LIMIT 5 RETURN o.orderID, numProducts",neo4jLabs_synthetic_gpt4turbo,instance_id_21710,neo4jlabs_demo_db_northwind
What is the name of the movie with the highest IMDb rating that is shorter than 90 minutes?,MATCH (m:Movie) WHERE m.runtime < 90 WITH m ORDER BY m.imdbRating DESC LIMIT 1 RETURN m.title,neo4jLabs_synthetic_gemini,instance_id_29668,neo4jlabs_demo_db_recommendations
List the intermediaries that have an active status.,"MATCH (i:Intermediary) WHERE i.status = 'ACTIVE' RETURN i.name AS intermediary_name, i.countries AS countries, i.address AS address",neo4jLabs_synthetic_gpt4o,instance_id_44740,neo4jlabs_demo_db_offshoreleaks
Which production companies have produced both movies and TV shows?,MATCH (pc:ProductionCompany)<-[:PRODUCED_BY]-(m:Movie) MATCH (pc)<-[:PRODUCED_BY]-(v:Video) RETURN DISTINCT pc.name,neo4jLabs_synthetic_gemini,instance_id_34219,neo4jlabs_demo_db_eoflix
Identify officers connected to entities with a jurisdiction description of 'Samoa'.,MATCH (o:Officer)-[:officer_of]->(e:Entity) WHERE e.jurisdiction_description = 'Samoa' RETURN o,neo4jLabs_synthetic_gpt4turbo,instance_id_21140,neo4jlabs_demo_db_offshoreleaks
List all customers who have placed orders with a required date in 1998.,"MATCH (c:Customer)-[:PURCHASED]->(o:Order) WHERE o.requiredDate STARTS WITH '1998' RETURN c.companyName AS customerName, c.contactName AS contactName, c.customerID AS customerID",neo4jLabs_synthetic_gpt4o,instance_id_44600,neo4jlabs_demo_db_northwind
List the first 3 video titles that have been produced by 'Pixar Animation Studios'.,MATCH (v:Video)-[:PRODUCED_BY]->(pc:ProductionCompany {name: 'Pixar Animation Studios'}) RETURN v.title LIMIT 3,neo4jLabs_synthetic_gpt4turbo,instance_id_20797,neo4jlabs_demo_db_eoflix
List the `name`s of the entities that are connected to filings with a `number` greater than 10 through the `BENEFITS` relationship.,MATCH (f:Filing) WHERE f.number > 10 MATCH (f)-[:BENEFITS]->(e:Entity) RETURN DISTINCT e.name,neo4jLabs_synthetic_gemini,instance_id_28321,neo4jlabs_demo_db_fincen
List the first 3 packages that provide the longest duration of access to movies.,"MATCH (p:Package)-[:PROVIDES_ACCESS_TO]->(:Genre)<-[:IN_GENRE]-(m:Movie) RETURN p.name, p.duration ORDER BY p.duration DESC LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_20673,neo4jlabs_demo_db_eoflix
Who are the first 3 VIPs in streams with a total view count exceeding 10 million?,MATCH (s:Stream)-[:VIP]->(u:User) WHERE s.total_view_count > 10000000 RETURN u.name AS vip_name ORDER BY s.total_view_count DESC LIMIT 3,neo4jLabs_synthetic_claudeopus,instance_id_37354,neo4jlabs_demo_db_twitch
What are the top 5 streams by total view count that also have a team?,MATCH (s:Stream)-[:HAS_TEAM]->(:Team) WHERE s.total_view_count IS NOT NULL RETURN s ORDER BY s.total_view_count DESC LIMIT 5,neo4jLabs_synthetic_gpt4turbo,instance_id_25742,neo4jlabs_demo_db_twitch
What are the top 3 most viewed games by streams that have a team?,"MATCH (s:Stream)-[:PLAYS]->(g:Game) WHERE exists{(s)-[:HAS_TEAM]->(:Team)} RETURN g.name AS Game, sum(s.total_view_count) AS TotalViews ORDER BY TotalViews DESC LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_25532,neo4jlabs_demo_db_twitch
Which 3 users have the most moderator relationships with other users?,"MATCH (u:User)-[r:MODERATOR]->(otherUser:User) RETURN u.name AS user, count(r) AS num_moderator_relationships ORDER BY num_moderator_relationships DESC LIMIT 3",neo4jLabs_synthetic_claudeopus,instance_id_36665,neo4jlabs_demo_db_twitch
List the people born in the 1960s who have directed a movie.,"MATCH (p:Person)-[:DIRECTED]->(:Movie) WHERE p.born >= 1960 AND p.born < 1970 RETURN p.name AS director, p.born AS birthYear",neo4jLabs_synthetic_claudeopus,instance_id_38160,neo4jlabs_demo_db_movies
What are the top 5 movies by budget size?,"MATCH (m:Movie) WHERE m.budget IS NOT NULL RETURN m.title, m.budget ORDER BY m.budget DESC LIMIT 5",neo4jLabs_synthetic_claudeopus,instance_id_35172,neo4jlabs_demo_db_eoflix
Show the first 5 filings with the most entities involved as concerns from different sectors.,"MATCH (f:Filing)-[:CONCERNS]->(e:Entity) WITH f, COUNT(DISTINCT e) AS entityCount ORDER BY entityCount DESC LIMIT 5 MATCH (f)-[:CONCERNS]->(e:Entity) RETURN f.sar_id AS FilingID, f.begin AS BeginDate, f.end AS EndDate, f.amount AS Amount, COLLECT(e.name) AS ConcernedEntities",neo4jLabs_synthetic_gpt4o,instance_id_41115,neo4jlabs_demo_db_fincen
"""How long is the longest thread of replies?""",MATCH p=(t:Tweet)-[:REPLY_TO*]->(:Tweet) RETURN length(p) AS longestThread ORDER BY longestThread DESC LIMIT 1,neo4j_crowdsourced,instance_id_27556,neo4jlabs_demo_db_twitter
List streams that have a total view count greater than 500 million.,"MATCH (s:Stream) WHERE s.total_view_count > 500000000 RETURN s.name, s.url, s.total_view_count",neo4jLabs_synthetic_gpt4o,instance_id_43259,neo4jlabs_demo_db_twitch
"What is the total revenue generated by movies in the ""Adventure"" genre?",MATCH (m:Movie)-[:IN_GENRE]->(g:Genre {name: 'Adventure'}) RETURN sum(m.revenue) AS totalRevenue,neo4jLabs_synthetic_gemini,instance_id_29284,neo4jlabs_demo_db_recommendations
What is the tagline of the movie released in 1999?,MATCH (m:Movie) WHERE m.released = 1999 RETURN m.tagline,neo4jLabs_synthetic_gemini,instance_id_32933,neo4jlabs_demo_db_movies
Show the top 5 users by the number of movies they have rated.,"MATCH (u:User)-[r:RATED]->(m:Movie) WITH u, count(r) AS numRatings ORDER BY numRatings DESC LIMIT 5 RETURN u.name AS user, numRatings",neo4jLabs_synthetic_claudeopus,instance_id_34877,neo4jlabs_demo_db_recommendations
List top 5 actors by number of movies acted in.,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie) WITH p, count(m) AS numMovies ORDER BY numMovies DESC LIMIT 5 RETURN p.name AS actor, numMovies",neo4jLabs_synthetic_claudeopus,instance_id_38241,neo4jlabs_demo_db_movies
Find the movies that were released in the month of December.,MATCH (m:Movie) WHERE date(m.release_date).month = 12 RETURN m.title,neo4jLabs_synthetic_gemini,instance_id_32047,neo4jlabs_demo_db_eoflix
Who are the VIP users in streams that have over 1000000 followers?,"MATCH (s:Stream)-[:VIP]->(u:User) WHERE s.followers > 1000000 RETURN u.name AS vip_user, s.name AS stream",neo4jLabs_synthetic_claudeopus,instance_id_37025,neo4jlabs_demo_db_twitch
List the top 5 orders with the highest freight cost.,MATCH (o:Order) RETURN o ORDER BY o.freight DESC LIMIT 5,neo4jLabs_synthetic_gpt4turbo,instance_id_21999,neo4jlabs_demo_db_northwind
What are the top 5 products by quantity ordered in the 'Condiments' category?,"MATCH (c:Category {categoryName: 'Condiments'})<-[:PART_OF]-(p:Product)<-[:ORDERS]-(o:Order) RETURN p.productName, SUM(o.quantity) AS totalQuantity ORDER BY totalQuantity DESC LIMIT 5",neo4jLabs_synthetic_gpt4o,instance_id_45235,neo4jlabs_demo_db_northwind
List the first 3 people who have directed and written the same movie.,MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[:WROTE]-(p) RETURN p.name AS person LIMIT 3,neo4jLabs_synthetic_claudeopus,instance_id_36393,neo4jlabs_demo_db_movies
Name the languages spoken in streams with a total view count exceeding 10 million.,MATCH (s:Stream)-[:HAS_LANGUAGE]->(l:Language) WHERE s.total_view_count > 10000000 RETURN DISTINCT l.name,neo4jLabs_synthetic_gpt4turbo,instance_id_24367,neo4jlabs_demo_db_twitch
List the names of the actors born in France.,"MATCH (a:Actor {bornIn: ""France""}) RETURN a.name",neo4jLabs_synthetic_gemini,instance_id_29651,neo4jlabs_demo_db_recommendations
List the top 5 movies with a released year before 1985.,"MATCH (m:Movie) WHERE m.released < 1985 RETURN m.title, m.released ORDER BY m.released LIMIT 5",neo4jLabs_synthetic_claudeopus,instance_id_36294,neo4jlabs_demo_db_movies
Which officers have a 'icij_id' property that starts with 'CFE' and are 'officer_of' entities with a 'jurisdiction' of 'NIUE'?,MATCH (o:Officer)-[r:officer_of]->(e:Entity) WHERE o.icij_id STARTS WITH 'CFE' AND e.jurisdiction = 'NIUE' RETURN o.name,neo4jLabs_synthetic_gemini,instance_id_30709,neo4jlabs_demo_db_offshoreleaks
What are the languages available for the movie 'Toy Story'?,MATCH (m:Movie {title: 'Toy Story'})-[:SPOKEN_IN_LANGUAGE]->(l:Language) RETURN l.name AS language,neo4jLabs_synthetic_claudeopus,instance_id_35139,neo4jlabs_demo_db_eoflix
What are the 3 oldest movies in the database?,MATCH (m:Movie) RETURN m ORDER BY m.released ASC LIMIT 3,neo4jLabs_synthetic_gpt4turbo,instance_id_23962,neo4jlabs_demo_db_movies
Which 3 directors have directed the most movies with a budget over 200 million USD?,"MATCH (d:Director)-[:DIRECTED]->(m:Movie) WHERE m.budget > 200000000 WITH d, count(m) AS moviesDirected ORDER BY moviesDirected DESC LIMIT 3 RETURN d.name, moviesDirected",neo4jLabs_synthetic_gpt4turbo,instance_id_25336,neo4jlabs_demo_db_recommendations
Who has the longest name among all actors?,MATCH (p:Person)-[:ACTED_IN]->(:Movie) RETURN p.name AS name ORDER BY size(p.name) DESC LIMIT 1,neo4jLabs_synthetic_claudeopus,instance_id_37530,neo4jlabs_demo_db_movies
Which three users have rated movies in the most number of different genres?,"MATCH (u:User)-[:RATED]->(m:Movie)-[:IN_GENRE]->(g:Genre) WITH u, COUNT(DISTINCT g) AS genreCount ORDER BY genreCount DESC LIMIT 3 RETURN u, genreCount",neo4jLabs_synthetic_gpt4turbo,instance_id_25062,neo4jlabs_demo_db_recommendations
Who are the first 3 actors by the number of different movies acted in?,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie) WITH p, count(DISTINCT m) AS movieCount ORDER BY movieCount DESC LIMIT 3 RETURN p.name AS actor, movieCount",neo4jLabs_synthetic_gpt4o,instance_id_40079,neo4jlabs_demo_db_movies
What are the first 3 genres that have the most movies?,"MATCH (g:Genre)<-[:IN_GENRE]-(m:Movie) RETURN g.name AS Genre, count(m) AS MovieCount ORDER BY MovieCount DESC LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_23202,neo4jlabs_demo_db_eoflix
What are the three most commonly used hashtags in tweets?,"MATCH (t:Tweet)-[:TAGS]->(h:Hashtag) RETURN h.name AS hashtag, count(*) AS count ORDER BY count DESC LIMIT 3",neo4jLabs_synthetic_claudeopus,instance_id_36720,neo4jlabs_demo_db_twitter
"Which people have reviewed a movie with the words ""solid romp"" in the summary?",MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WHERE r.summary CONTAINS 'A solid romp' RETURN p.name,neo4jLabs_synthetic_gemini,instance_id_33086,neo4jlabs_demo_db_movies
What are the top 5 languages in which movies are made based on the 'languages' property of movies?,"MATCH (m:Movie) WHERE m.languages IS NOT NULL UNWIND m.languages AS language RETURN language, count(m) AS num_movies ORDER BY num_movies DESC LIMIT 5",neo4jLabs_synthetic_gpt4turbo,instance_id_26159,neo4jlabs_demo_db_recommendations
List the top 5 videos with the least revenue.,"MATCH (v:Video) WHERE v.revenue IS NOT NULL RETURN v.title, v.revenue ORDER BY v.revenue ASC LIMIT 5",neo4jLabs_synthetic_gpt4o,instance_id_39699,neo4jlabs_demo_db_eoflix
Which directors have the most number of movies with a rating greater than 8.0?,"MATCH (p:Person {gender: 2})-[:CREW_FOR {job: 'Director'}]-(m:Movie) WHERE m.average_vote > 8.0 WITH p, count(m) AS movieCount ORDER BY movieCount DESC RETURN p.name, movieCount LIMIT 10",neo4jLabs_synthetic_gemini,instance_id_31839,neo4jlabs_demo_db_eoflix
What is the runtime of the movie with the highest average vote?,"MATCH (m:Movie) RETURN m.runtime, m.average_vote ORDER BY m.average_vote DESC LIMIT 1",neo4jLabs_synthetic_gemini,instance_id_34334,neo4jlabs_demo_db_eoflix
List the top 5 streams with the most chatters who are users.,"MATCH (s:Stream)-[:CHATTER]->(u:User) WITH s, count(u) AS userChatters ORDER BY userChatters DESC LIMIT 5 RETURN s.id AS StreamID, s.name AS StreamName, userChatters",neo4jLabs_synthetic_gpt4turbo,instance_id_24567,neo4jlabs_demo_db_twitch
List all the genres associated with the movie 'Toy Story'.,MATCH (m:Movie {title: 'Toy Story'})-[:IN_GENRE]->(g:Genre) RETURN g.name AS genre,neo4jLabs_synthetic_claudeopus,instance_id_35141,neo4jlabs_demo_db_eoflix
Find all movies released between 1990 and 2000 with an average vote greater than 7.,MATCH (m:Movie) WHERE m.release_date >= date('1990-01-01') AND m.release_date <= date('2000-12-31') AND m.average_vote > 7 RETURN m.title,neo4jLabs_synthetic_gemini,instance_id_32005,neo4jlabs_demo_db_eoflix
What are the top 5 movies with the most significant number of languages spoken?,"MATCH (m:Movie)-[:SPOKEN_IN_LANGUAGE]->(l:Language) WITH m, count(l) AS languageCount ORDER BY languageCount DESC LIMIT 5 RETURN m.title AS movie, languageCount AS spokenLanguages",neo4jLabs_synthetic_claudeopus,instance_id_34733,neo4jlabs_demo_db_eoflix
What are the top 5 most frequently spoken languages in videos?,"MATCH (v:Video)-[:SPOKEN_IN_LANGUAGE]->(l:Language) RETURN l.name AS Language, count(v) AS VideoCount ORDER BY VideoCount DESC LIMIT 5",neo4jLabs_synthetic_gpt4turbo,instance_id_21082,neo4jlabs_demo_db_eoflix
What is the average release year of movies reviewed with a rating above 80?,MATCH (:Person)-[r:REVIEWED]->(m:Movie) WHERE r.rating > 80 RETURN AVG(m.released) AS averageReleaseYear,neo4jLabs_synthetic_gpt4turbo,instance_id_23318,neo4jlabs_demo_db_movies
"What is the average runtime of movies in the ""Drama"" genre?",MATCH (g:Genre {name: 'Drama'})<-[:IN_GENRE]-(m:Movie) WITH avg(m.runtime) AS average_runtime RETURN average_runtime,neo4jLabs_synthetic_gemini,instance_id_29842,neo4jlabs_demo_db_recommendations
List the first 3 orders shipped to France.,"MATCH (o:Order)-[:ORDERS]->(p:Product) WHERE o.shipCountry = 'France' RETURN o.orderID, o.shipName, o.shipCity, o.shipPostalCode, o.shipAddress, o.shipCountry, o.shippedDate ORDER BY o.shippedDate LIMIT 3",neo4jLabs_synthetic_gpt4o,instance_id_44673,neo4jlabs_demo_db_northwind
What are the first 3 movies directed by a person born in France?,MATCH (d:Director {bornIn: 'France'})-[:DIRECTED]->(m:Movie) RETURN m LIMIT 3,neo4jLabs_synthetic_gpt4turbo,instance_id_25020,neo4jlabs_demo_db_recommendations
List the first 3 movies that have been directed by actors.,MATCH (a:Actor)-[:DIRECTED]->(m:Movie) RETURN m LIMIT 3,neo4jLabs_synthetic_gpt4turbo,instance_id_25380,neo4jlabs_demo_db_recommendations
Find the product that has the lowest ratio of units on order to reorder level.,"MATCH (p:Product) WHERE p.reorderLevel <> 0 WITH p, (toFloat(p.unitsOnOrder) / toFloat(p.reorderLevel)) AS ratio ORDER BY ratio ASC LIMIT 1 RETURN p, ratio",neo4jLabs_synthetic_gemini,instance_id_32344,neo4jlabs_demo_db_northwind
Which customers (show `customerID` and `companyName`) have placed orders that include the product with the lowest `reorderLevel`?,"MATCH (p:Product) WITH p, min(p.reorderLevel) AS lowestReorderLevel WHERE p.reorderLevel = lowestReorderLevel MATCH (p)<-[:ORDERS]-(o:Order)<-[:PURCHASED]-(c:Customer) RETURN DISTINCT c.customerID, c.companyName",neo4jLabs_synthetic_gemini,instance_id_30844,neo4jlabs_demo_db_northwind
List the start times of all processes running on machines in zone 2.,MATCH (z:Zone {zone: 2})-[:ROUTES]->(:Interface)<-[:ROUTES]-(:Switch)<-[:HOLDS]-(r:Rack {zone: 2})-[:HOLDS]->(m:Machine)-[:RUNS]->(p:Process) RETURN p.startTime,neo4jLabs_synthetic_gpt4o,instance_id_43765,neo4jlabs_demo_db_network
Which 3 videos have a poster path ending with 'jpg'?,MATCH (v:Video) WHERE v.poster_path ENDS WITH 'jpg' RETURN v.title LIMIT 3,neo4jLabs_synthetic_claudeopus,instance_id_37949,neo4jlabs_demo_db_eoflix
Identify the first 3 streams that play a game and have a VIP who is a user.,"MATCH (s:Stream)-[:PLAYS]->(:Game), (s)-[:VIP]->(u:User) RETURN s, u LIMIT 3",neo4jLabs_synthetic_claudeopus,instance_id_36622,neo4jlabs_demo_db_twitch
"List the first 3 languages used by streams that have more than 10,000 followers.",MATCH (s:Stream)-[:HAS_LANGUAGE]->(l:Language) WHERE s.followers > 10000 RETURN DISTINCT l.name ORDER BY l.name LIMIT 3,neo4jLabs_synthetic_gpt4o,instance_id_43569,neo4jlabs_demo_db_twitch
Name 3 movies directed by Pixar Animation Studios.,"MATCH (m:Movie)-[:PRODUCED_BY]->(pc:ProductionCompany {name: ""Pixar Animation Studios""}) RETURN m.title AS MovieTitle LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_23446,neo4jlabs_demo_db_eoflix
Find the movies that have an overview.,"MATCH (m:Movie) WHERE m.overview <> """" RETURN m",neo4jLabs_synthetic_gemini,instance_id_32011,neo4jlabs_demo_db_eoflix
Identify the first 3 applications with a PID less than 2000.,MATCH (a:Application) WHERE a.pid < 2000 RETURN a ORDER BY a.pid LIMIT 3,neo4jLabs_synthetic_gpt4turbo,instance_id_20272,neo4jlabs_demo_db_network
"What is the average number of followers for users who have posted tweets that mention the user with screen name ""neo4j""?",MATCH (targetUser:User {screen_name: 'neo4j'}) <-[:MENTIONS]-(tweet:Tweet) <-[:POSTS]-(user:User) WITH avg(user.followers) AS averageFollowers RETURN averageFollowers,neo4jLabs_synthetic_gemini,instance_id_34713,neo4jlabs_demo_db_twitter
Which suppliers supply products to more than one category?,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)-[:PART_OF]->(c:Category) WITH s, collect(DISTINCT c.categoryID) AS categories WHERE size(categories) > 1 RETURN s.companyName AS Supplier, size(categories) AS NumberOfCategories",neo4jLabs_synthetic_gpt4o,instance_id_44683,neo4jlabs_demo_db_northwind
List all services listening on port 80.,MATCH (s:Service)-[:LISTENS]->(p:Port {port: 80}) RETURN s.name,neo4jLabs_synthetic_gpt4o,instance_id_44065,neo4jlabs_demo_db_network
Identify all movies that were produced in a country other than the United States.,"MATCH (m:Movie)-[:PRODUCED_IN_COUNTRY]->(c:Country) WHERE c.name <> ""United States of America"" RETURN m",neo4jLabs_synthetic_gpt4turbo,instance_id_23609,neo4jlabs_demo_db_eoflix
Which 3 production companies have produced movies in more than 3 different languages?,"MATCH (c:ProductionCompany)-[:PRODUCED_BY]-(m:Movie)-[:ORIGINAL_LANGUAGE]->(l:Language) WITH c, count(distinct l) AS numLangs WHERE numLangs > 3 RETURN c.name, numLangs ORDER BY numLangs DESC LIMIT 3",neo4jLabs_synthetic_claudeopus,instance_id_37936,neo4jlabs_demo_db_eoflix
"""who is the youngest director to direct a movie""","MATCH (p:Person)-[:DIRECTED]->(m:Movie) RETURN p.name AS Director, p.born AS YearBorn ORDER BY p.born DESC LIMIT 1",neo4j_crowdsourced,instance_id_27340,neo4jlabs_demo_db_movies
What are the first 3 types of machines located in DataCenter 'DC1'?,MATCH (dc:DataCenter {name: 'DC1'})-[:CONTAINS]->(r:Rack)-[:HOLDS]->(m:Machine)-[:TYPE]->(t:Type) RETURN t.type LIMIT 3,neo4jLabs_synthetic_gpt4turbo,instance_id_20257,neo4jlabs_demo_db_network
List the original addresses associated with the sourceID 'Panama Papers'.,MATCH (a:Address) WHERE a.sourceID = 'Panama Papers' AND a.original_address IS NOT NULL RETURN a.original_address,neo4jLabs_synthetic_gpt4turbo,instance_id_21961,neo4jlabs_demo_db_offshoreleaks
Identify the top 5 products with the lowest reorder level.,"MATCH (p:Product) RETURN p.productName, p.reorderLevel ORDER BY p.reorderLevel ASC LIMIT 5",neo4jLabs_synthetic_gpt4turbo,instance_id_20466,neo4jlabs_demo_db_northwind
Which 3 entities have filed the most number of filings concerning banks in 'Australia'?,"MATCH (e:Entity)-[:FILED]->(f:Filing)-[:CONCERNS]->(bank:Entity) WHERE exists {     (bank)-[:COUNTRY]->(:Country {name: 'Australia'}) } RETURN e.name, count(f) AS filings_count ORDER BY filings_count DESC LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_26784,neo4jlabs_demo_db_fincen
Which products have been ordered by customers from Berlin?,"MATCH (c:Customer {city: ""Berlin""})-[:PURCHASED]->(o:Order)-[:ORDERS]->(p:Product) RETURN DISTINCT p.productName AS ProductOrdered",neo4jLabs_synthetic_gpt4turbo,instance_id_21633,neo4jlabs_demo_db_northwind
List all movies that were both acted in and directed by the same person.,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie)<-[:DIRECTED]-(p) RETURN m.title AS MovieTitle, p.name AS PersonName",neo4jLabs_synthetic_gpt4turbo,instance_id_23833,neo4jlabs_demo_db_movies
What are the top 5 filings concerning entities that are located at a latitude higher than 40 degrees?,MATCH (f:Filing)-[:CONCERNS]->(e:Entity)-[:COUNTRY]->(c:Country) WHERE c.location.latitude > 40 RETURN f ORDER BY f.amount DESC LIMIT 5,neo4jLabs_synthetic_gpt4turbo,instance_id_22761,neo4jlabs_demo_db_fincen
Which 5 directors have the most movies released in the 2000s?,"MATCH (d:Director)-[:DIRECTED]->(m:Movie) WHERE m.year >= 2000 AND m.year < 2010 WITH d, count(m) AS numMovies ORDER BY numMovies DESC LIMIT 5 RETURN d.name AS director, numMovies",neo4jLabs_synthetic_claudeopus,instance_id_35563,neo4jlabs_demo_db_recommendations
Which actors have acted in movies directed by the person who directed 'Speed Racer'?,MATCH (d:Person)-[:DIRECTED]->(m:Movie {title: 'Speed Racer'}) WITH d MATCH (d)-[:DIRECTED]->(movie:Movie)<-[:ACTED_IN]-(actor:Person) RETURN DISTINCT actor.name,neo4jLabs_synthetic_gemini,instance_id_32931,neo4jlabs_demo_db_movies
"Which versions of the software ""RHEL"" are there?",MATCH (software:Software {name: 'RHEL'})-[:VERSION]->(version:Version) RETURN version.name,neo4jLabs_synthetic_gemini,instance_id_32365,neo4jlabs_demo_db_network
List the entities that have undergone liquidation as per their notes.,MATCH (e:Entity) WHERE e.note = 'Closed date stands for Liquidation date.' RETURN e,neo4jLabs_synthetic_gpt4turbo,instance_id_21238,neo4jlabs_demo_db_offshoreleaks
List the first 3 keywords associated with the movie 'Toy Story'.,MATCH (m:Movie {title: 'Toy Story'})-[:HAS_KEYWORD]->(k:Keyword) RETURN k.name ORDER BY k.id LIMIT 3,neo4jLabs_synthetic_gemini,instance_id_34294,neo4jlabs_demo_db_eoflix
"Which streams have a total view count greater than 10,000,000 and are played in English?","MATCH (s:Stream)-[:HAS_LANGUAGE]->(l:Language) WHERE s.total_view_count > 10000000 AND l.name = ""en"" RETURN s.name",neo4jLabs_synthetic_gemini,instance_id_34106,neo4jlabs_demo_db_twitch
